"id"	"location"	"scale"	"depth"	"time"	"geom"	"d_id"
"98"	"甘肃酒泉市肃北县"	"3.2"	"10"	"2024-01-22 22:23:56"	"0101000020E610000085EB51B81E555840EC51B81E85AB4340"	"CC20240122222357"
"99"	"新疆克孜勒苏州阿合奇县"	"3.1"	"10"	"2024-01-23 16:31:34"	"0101000020E61000006666666666A65340713D0AD7A3904440"	"CD20240123163134"
"107"	"新疆克孜勒苏州阿合奇县"	"3.6"	"10"	"2024-01-23 15:19:17"	"0101000020E6100000E17A14AE47A153408FC2F5285C8F4440"	"CD20240123151917"
"114"	"新疆克孜勒苏州阿合奇县"	"3.1"	"10"	"2024-01-23 13:33:00"	"0101000020E6100000B81E85EB51A853409A99999999994440"	"CD20240123133301"
"117"	"新疆克孜勒苏州阿合奇县"	"3.5"	"10"	"2024-01-23 12:30:59"	"0101000020E61000005C8FC2F528AC5340295C8FC2F5884440"	"CC20240123123060"
"124"	"新疆克孜勒苏州阿合奇县"	"3.7"	"16"	"2024-01-23 06:20:04"	"0101000020E61000000AD7A3703DAA5340C3F5285C8F824440"	"CD20240123062005"
"127"	"新疆阿克苏地区乌什县"	"3.3"	"15"	"2024-01-23 05:50:47"	"0101000020E61000006666666666B653407B14AE47E19A4440"	"CC20240123055048"
"134"	"新疆克孜勒苏州阿合奇县"	"4.1"	"20"	"2024-01-23 05:16:44"	"0101000020E6100000A4703D0AD7A3534052B81E85EB914440"	"CC20240123051644"
"136"	"新疆阿克苏地区乌什县"	"4.5"	"20"	"2024-01-23 04:57:12"	"0101000020E6100000A4703D0AD7B353409A99999999994440"	"CD20240123045712"
"142"	"新疆克孜勒苏州阿合奇县"	"3.2"	"20"	"2024-01-23 04:08:47"	"0101000020E610000014AE47E17AA453403333333333934440"	"CD20240123040848"
"143"	"新疆克孜勒苏州阿合奇县"	"3"	"20"	"2024-01-23 03:59:53"	"0101000020E6100000A4703D0AD7A353403333333333934440"	"CD20240123035953"
"144"	"山西大同市左云县"	"3"	"8"	"2024-01-23 03:59:33"	"0101000020E61000003D0AD7A3702D5C40CDCCCCCCCCEC4340"	"CD20240123035934"
"145"	"新疆克孜勒苏州阿合奇县"	"3.2"	"20"	"2024-01-23 03:40:35"	"0101000020E6100000C3F5285C8FA2534014AE47E17A944440"	"CD20240123034036"
"146"	"新疆克孜勒苏州阿合奇县"	"5.3"	"20"	"2024-01-23 03:36:46"	"0101000020E61000000AD7A3703DAA5340AE47E17A148E4440"	"CC20240123033647"
"147"	"新疆阿克苏地区乌什县"	"3.1"	"20"	"2024-01-23 03:30:34"	"0101000020E610000085EB51B81EB553407B14AE47E19A4440"	"CC20240123033035"
"148"	"新疆克孜勒苏州阿合奇县"	"3.2"	"13"	"2024-01-23 03:21:10"	"0101000020E6100000E17A14AE47A1534052B81E85EB914440"	"CD20240123032110"
"149"	"新疆阿克苏地区乌什县"	"3.4"	"14"	"2024-01-23 03:20:18"	"0101000020E61000005C8FC2F528AC534085EB51B81EA54440"	"CD20240123032019"
"150"	"新疆阿克苏地区乌什县"	"3.2"	"20"	"2024-01-23 03:17:13"	"0101000020E61000005C8FC2F528BC5340A4703D0AD7A34440"	"CC20240123031713"
"151"	"新疆克孜勒苏州阿合奇县"	"3.8"	"20"	"2024-01-23 03:14:02"	"0101000020E6100000C3F5285C8FB253409A99999999794440"	"CC20240123031402"
"152"	"新疆阿克苏地区乌什县"	"4.6"	"17"	"2024-01-23 02:50:43"	"0101000020E6100000EC51B81E85AB53400AD7A3703DAA4440"	"CD20240123025043"
"153"	"新疆阿克苏地区乌什县"	"5.2"	"14"	"2024-01-23 02:42:33"	"0101000020E6100000CDCCCCCCCCAC53400AD7A3703DAA4440"	"CC20240123024233"
"154"	"新疆克孜勒苏州阿合奇县"	"4.5"	"23"	"2024-01-23 02:32:40"	"0101000020E6100000EC51B81E859B5340295C8FC2F5884440"	"CD20240123023240"
"156"	"新疆克孜勒苏州阿合奇县"	"3.8"	"20"	"2024-01-23 02:17:06"	"0101000020E61000003D0AD7A3709D53401F85EB51B89E4440"	"CD20240123021706"
"155"	"新疆克孜勒苏州阿合奇县"	"3.3"	"20"	"2024-01-23 02:16:28"	"0101000020E6100000F6285C8FC2A553403333333333934440"	"CD20240123021629"
"157"	"新疆阿克苏地区乌什县"	"4.5"	"20"	"2024-01-23 02:14:16"	"0101000020E6100000D7A3703D0AA75340C3F5285C8FA24440"	"CD20240123021416"
"158"	"新疆阿克苏地区乌什县"	"7.1"	"22"	"2024-01-23 02:09:05"	"0101000020E6100000B81E85EB51A85340E17A14AE47A14440"	"CC20240123020905"
"159"	"新疆阿克苏地区拜城县"	"4.8"	"16"	"2024-01-22 12:33:18"	"0101000020E6100000D7A3703D0A4754405C8FC2F528FC4440"	"CC20240122123319"
"160"	"新疆克孜勒苏州阿克陶县"	"3"	"137"	"2024-01-22 17:00:56"	"0101000020E61000000AD7A3703DDA5240CDCCCCCCCC2C4340"	"CD20240122170056"
"161"	"新疆克孜勒苏州阿合奇县"	"3.3"	"20"	"2024-01-24 16:04:00"	"0101000020E610000014AE47E17AA45340AE47E17A148E4440"	"CD20240124160401"
"162"	"新疆克孜勒苏州阿合奇县"	"3"	"18"	"2024-01-24 15:04:21"	"0101000020E610000014AE47E17AA453408FC2F5285C8F4440"	"CD20240124150422"
"163"	"新疆阿克苏地区乌什县"	"3"	"18"	"2024-01-24 14:51:27"	"0101000020E61000003D0AD7A370AD53407B14AE47E19A4440"	"CD20240124145128"
"164"	"新疆克孜勒苏州阿合奇县"	"3.4"	"15"	"2024-01-24 17:43:21"	"0101000020E6100000E17A14AE47A1534052B81E85EB914440"	"CD20240124174322"
"165"	"新疆阿克苏地区乌什县"	"3.3"	"15"	"2024-01-24 14:29:33"	"0101000020E6100000CDCCCCCCCCAC53406666666666A64440"	"CD20240124142933"
"166"	"新疆克孜勒苏州阿合奇县"	"3"	"10"	"2024-01-24 12:58:26"	"0101000020E61000006666666666A65340AE47E17A148E4440"	"CD20240124125826"
"167"	"新疆克孜勒苏州阿合奇县"	"3.2"	"15"	"2024-01-24 11:56:25"	"0101000020E6100000F6285C8FC2A55340295C8FC2F5884440"	"CD20240124115626"
"168"	"新疆克孜勒苏州阿合奇县"	"3.4"	"10"	"2024-01-24 10:16:31"	"0101000020E61000006666666666A6534014AE47E17A944440"	"CD20240124101632"
"169"	"新疆克孜勒苏州阿合奇县"	"3.1"	"15"	"2024-01-24 17:30:23"	"0101000020E61000007B14AE47E1AA53409A99999999994440"	"CD20240124173023"
"170"	"新疆克孜勒苏州阿合奇县"	"3.6"	"10"	"2024-01-24 10:54:03"	"0101000020E6100000F6285C8FC2A55340295C8FC2F5884440"	"CD20240124105404"
"171"	"新疆阿克苏地区乌什县"	"3.9"	"10"	"2024-01-24 09:35:18"	"0101000020E61000001F85EB51B8AE5340AE47E17A14AE4440"	"CD20240124093519"
"172"	"新疆阿克苏地区乌什县"	"3.2"	"10"	"2024-01-24 09:59:14"	"0101000020E610000052B81E85EBB1534048E17A14AEA74440"	"CD20240124095914"
"173"	"新疆克孜勒苏州阿合奇县"	"3"	"10"	"2024-01-24 08:15:28"	"0101000020E610000014AE47E17AA4534014AE47E17A944440"	"CC20240124081529"
"174"	"新疆阿克苏地区乌什县"	"3"	"15"	"2024-01-24 20:36:39"	"0101000020E6100000713D0AD7A3B05340295C8FC2F5A84440"	"CD20240124203640"
"175"	"新疆克孜勒苏州阿合奇县"	"3.1"	"15"	"2024-01-24 23:00:47"	"0101000020E6100000EC51B81E859B53400AD7A3703D8A4440"	"CD20240124230048"
"176"	"新疆克孜勒苏州阿合奇县"	"4"	"22"	"2024-01-24 23:01:21"	"0101000020E6100000D7A3703D0AA75340B81E85EB51984440"	"CD20240124230121"
"177"	"新疆克孜勒苏州阿合奇县"	"3.6"	"18"	"2024-01-24 23:04:16"	"0101000020E610000052B81E85EBA153400AD7A3703D8A4440"	"CD20240124230417"
"178"	"新疆克孜勒苏州阿合奇县"	"3"	"14"	"2024-01-25 16:59:00"	"0101000020E610000085EB51B81EA553408FC2F5285C8F4440"	"CD20240125165900"
"179"	"新疆克孜勒苏州阿合奇县"	"3.2"	"15"	"2024-01-25 00:20:12"	"0101000020E610000085EB51B81EA55340EC51B81E858B4440"	"CC20240125002013"
"180"	"新疆阿克苏地区乌什县"	"3.3"	"12"	"2024-01-25 17:29:50"	"0101000020E61000007B14AE47E1BA5340EC51B81E85AB4440"	"CD20240125172950"
"181"	"新疆克孜勒苏州阿合奇县"	"3.3"	"14"	"2024-01-25 16:42:48"	"0101000020E61000003333333333A353408FC2F5285C8F4440"	"CD20240125164249"
"182"	"新疆阿克苏地区乌什县"	"3.2"	"13"	"2024-01-25 16:59:57"	"0101000020E61000001F85EB51B8AE53401F85EB51B89E4440"	"CD20240125165958"
"183"	"新疆阿克苏地区乌什县"	"3.7"	"16"	"2024-01-25 16:14:48"	"0101000020E61000000AD7A3703DBA5340EC51B81E85AB4440"	"CD20240125161448"
"184"	"新疆阿克苏地区乌什县"	"3.8"	"15"	"2024-01-25 12:59:22"	"0101000020E6100000713D0AD7A3B053401F85EB51B89E4440"	"CD20240125125922"
"185"	"新疆克孜勒苏州阿合奇县"	"3.2"	"16"	"2024-01-25 12:54:54"	"0101000020E6100000F6285C8FC2A553408FC2F5285C8F4440"	"CD20240125125454"
